Orth,Pos,VerbType,Participle,Gender,PronounType,Number,Case,inflectionType,animacy,person,adjectiveType,numeralType,tenseType,voice,nounType,Fajl
ovi,#zamjenica,,,#muski,#Z_pokazna,#jednina,#nominativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ova,#zamjenica,,,#zenski,#Z_pokazna,#jednina,#nominativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovo,#zamjenica,,,#srednji,#Z_pokazna,#jednina,#nominativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovoga,#zamjenica,,,#muski,#Z_pokazna,#jednina,#genitiv,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ove,#zamjenica,,,#zenski,#Z_pokazna,#jednina,#genitiv,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovoga,#zamjenica,,,#srednji,#Z_pokazna,#jednina,#genitiv,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovomu,#zamjenica,,,#muski,#Z_pokazna,#jednina,#dativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovoj,#zamjenica,,,#zenski,#Z_pokazna,#jednina,#dativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovomu,#zamjenica,,,#srednji,#Z_pokazna,#jednina,#dativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovoga,#zamjenica,,,#muski,#Z_pokazna,#jednina,#akuzativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovu,#zamjenica,,,#zenski,#Z_pokazna,#jednina,#akuzativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovo,#zamjenica,,,#srednji,#Z_pokazna,#jednina,#akuzativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijem,#zamjenica,,,#muski,#Z_pokazna,#jednina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovim,#zamjenica,,,#muski,#Z_pokazna,#jednina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovom,#zamjenica,,,#zenski,#Z_pokazna,#jednina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijem,#zamjenica,,,#srednji,#Z_pokazna,#jednina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovim,#zamjenica,,,#srednji,#Z_pokazna,#jednina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovi,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#nominativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ove,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#nominativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ova,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#nominativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijeh,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#genitiv,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovih,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#genitiv,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijeh,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#genitiv,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovih,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#genitiv,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijeh,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#genitiv,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovih,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#genitiv,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijem,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#dativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovim,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#dativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijem,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#dativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovim,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#dativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijem,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#dativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovim,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#dativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ove,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#akuzativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ove,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#akuzativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ova,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#akuzativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijemi,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijema,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovimi,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovima,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijemi,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijema,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovimi,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovima,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijemi,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijema,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovimi,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovima,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#instrumental,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijeh,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#lokativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovih,#zamjenica,,,#muski,#Z_pokazna,#mnozina,#lokativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijeh,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#lokativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovih,#zamjenica,,,#zenski,#Z_pokazna,#mnozina,#lokativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovijeh,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#lokativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
ovih,#zamjenica,,,#srednji,#Z_pokazna,#mnozina,#lokativ,,,,,,,,,retrogram-appendini-v11-final29.9.2022.xml
Jakob,#imenica,,,#muski,,#jednina,#nominativ,#I_a_sklonidba,#I_zivo,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakoba,#imenica,,,#muski,,#jednina,#genitiv,#I_a_sklonidba,#I_zivo,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobu,#imenica,,,#muski,,#jednina,#dativ,#I_a_sklonidba,#I_zivo,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakoba,#imenica,,,#muski,,#jednina,#akuzativ,#I_a_sklonidba,#I_zivo,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobe,#imenica,,,#muski,,#jednina,#vokativ,#I_a_sklonidba,#I_zivo,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobom,#imenica,,,#muski,,#jednina,#instrumental,#I_a_sklonidba,#I_zivo,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobi,#imenica,,,#muski,,#mnozina,#nominativ,#I_a_sklonidba,,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobaa,#imenica,,,#muski,,#mnozina,#genitiv,#I_a_sklonidba,,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobim,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobe,#imenica,,,#muski,,#mnozina,#akuzativ,#I_a_sklonidba,,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobi,#imenica,,,#muski,,#mnozina,#vokativ,#I_a_sklonidba,,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobima,#imenica,,,#muski,,#mnozina,#instrumental,#I_a_sklonidba,,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobijeh,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
Jakobih,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_vlastita,retrogram-appendini-v11-final29.9.2022.xml
vjetar,#imenica,,,#muski,,#jednina,#nominativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetra,#imenica,,,#muski,,#jednina,#genitiv,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetru,#imenica,,,#muski,,#jednina,#dativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetar,#imenica,,,#muski,,#jednina,#akuzativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetre,#imenica,,,#muski,,#jednina,#vokativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetrom,#imenica,,,#muski,,#jednina,#instrumental,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetri,#imenica,,,#muski,,#mnozina,#nominativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetaraa,#imenica,,,#muski,,#mnozina,#genitiv,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetrom,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetrim,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetre,#imenica,,,#muski,,#mnozina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetri,#imenica,,,#muski,,#mnozina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetrima,#imenica,,,#muski,,#mnozina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetrimi,#imenica,,,#muski,,#mnozina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetrijeh,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vjetrih,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
otac,#imenica,,,#muski,,#jednina,#nominativ,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
oca,#imenica,,,#muski,,#jednina,#genitiv,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ocu,#imenica,,,#muski,,#jednina,#dativ,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
oca,#imenica,,,#muski,,#jednina,#akuzativ,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
oče,#imenica,,,#muski,,#jednina,#vokativ,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ocom,#imenica,,,#muski,,#jednina,#instrumental,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ocem,#imenica,,,#muski,,#jednina,#instrumental,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
oci,#imenica,,,#muski,,#mnozina,#nominativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
otaca,#imenica,,,#muski,,#mnozina,#genitiv,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ocim,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ocem,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
oce,#imenica,,,#muski,,#mnozina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
oci,#imenica,,,#muski,,#mnozina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ocima,#imenica,,,#muski,,#mnozina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ocijeh,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ocih,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dan,#imenica,,,#muski,,#jednina,#nominativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dana,#imenica,,,#muski,,#jednina,#genitiv,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dneva,#imenica,,,#muski,,#jednina,#genitiv,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
danu,#imenica,,,#muski,,#jednina,#dativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnevu,#imenica,,,#muski,,#jednina,#dativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dana,#imenica,,,#muski,,#jednina,#akuzativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dneva,#imenica,,,#muski,,#jednina,#akuzativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dane,#imenica,,,#muski,,#jednina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dneve,#imenica,,,#muski,,#jednina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
danom,#imenica,,,#muski,,#jednina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnevom,#imenica,,,#muski,,#jednina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dani,#imenica,,,#muski,,#mnozina,#nominativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnevi,#imenica,,,#muski,,#mnozina,#nominativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
danaa,#imenica,,,#muski,,#mnozina,#genitiv,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnevaa,#imenica,,,#muski,,#mnozina,#genitiv,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnii,#imenica,,,#muski,,#mnozina,#genitiv,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
danom,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
danima,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnevom,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnevim,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dane,#imenica,,,#muski,,#mnozina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dneve,#imenica,,,#muski,,#mnozina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dni,#imenica,,,#muski,,#mnozina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dani,#imenica,,,#muski,,#mnozina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnevi,#imenica,,,#muski,,#mnozina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dni,#imenica,,,#muski,,#mnozina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
danima,#imenica,,,#muski,,#mnozina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnevima,#imenica,,,#muski,,#mnozina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
danijeh,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnevijeh,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dnevih,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
čovjek,#imenica,,,#muski,,#jednina,#nominativ,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
čovjeka,#imenica,,,#muski,,#jednina,#genitiv,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
čovjeku,#imenica,,,#muski,,#jednina,#dativ,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
čovjeka,#imenica,,,#muski,,#jednina,#akuzativ,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
čovječe,#imenica,,,#muski,,#jednina,#vokativ,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
čovjekom,#imenica,,,#muski,,#jednina,#instrumental,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ljudi,#imenica,,,#muski,,#mnozina,#nominativ,,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ljudii,#imenica,,,#muski,,#mnozina,#genitiv,,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ljudim,#imenica,,,#muski,,#mnozina,#dativ,,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ljudem,#imenica,,,#muski,,#mnozina,#dativ,,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ljude,#imenica,,,#muski,,#mnozina,#akuzativ,,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ljudi,#imenica,,,#muski,,#mnozina,#vokativ,,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ljudima,#imenica,,,#muski,,#mnozina,#instrumental,,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ljudijeh,#imenica,,,#muski,,#mnozina,#lokativ,,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
ljudih,#imenica,,,#muski,,#mnozina,#lokativ,,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dom,#imenica,,,#muski,,#jednina,#nominativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
doma,#imenica,,,#muski,,#jednina,#genitiv,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
domu,#imenica,,,#muski,,#jednina,#dativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
dom,#imenica,,,#muski,,#jednina,#akuzativ,#I_a_sklonidba,#I_nezivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelini,#imenica,,,#muski,,#mnozina,#nominativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlasteli,#imenica,,,#muski,,#mnozina,#nominativ,#I_a_sklonidba,#I_zivo,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelinaa,#imenica,,,#muski,,#mnozina,#genitiv,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelaa,#imenica,,,#muski,,#mnozina,#genitiv,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelinom,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelom,#imenica,,,#muski,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlasteline,#imenica,,,#muski,,#mnozina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastele,#imenica,,,#muski,,#mnozina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelini,#imenica,,,#muski,,#mnozina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlasteli,#imenica,,,#muski,,#mnozina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelinima,#imenica,,,#muski,,#mnozina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelima,#imenica,,,#muski,,#mnozina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelinijeh,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelinih,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelijeh,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vlastelih,#imenica,,,#muski,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vrijeme,#imenica,,,#srednji,,#jednina,#nominativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vrime,#imenica,,,#srednji,,#jednina,#nominativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremena,#imenica,,,#srednji,,#jednina,#genitiv,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremenu,#imenica,,,#srednji,,#jednina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vrijeme,#imenica,,,#srednji,,#jednina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vrime,#imenica,,,#srednji,,#jednina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vrijeme,#imenica,,,#srednji,,#jednina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vrime,#imenica,,,#srednji,,#jednina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremenom,#imenica,,,#srednji,,#jednina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremena,#imenica,,,#srednji,,#mnozina,#nominativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremenaa,#imenica,,,#srednji,,#mnozina,#genitiv,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremenom,#imenica,,,#srednji,,#mnozina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremena,#imenica,,,#srednji,,#mnozina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremena,#imenica,,,#srednji,,#mnozina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremenima,#imenica,,,#srednji,,#mnozina,#instrumental,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremenijeh,#imenica,,,#srednji,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
vremenih,#imenica,,,#srednji,,#mnozina,#lokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
stado,#imenica,,,#srednji,,#jednina,#nominativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
stada,#imenica,,,#srednji,,#jednina,#genitiv,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
stadu,#imenica,,,#srednji,,#jednina,#dativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
stado,#imenica,,,#srednji,,#jednina,#akuzativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
stado,#imenica,,,#srednji,,#jednina,#vokativ,#I_a_sklonidba,,,,,,,#I_opca,retrogram-appendini-v11-final29.9.2022.xml
